,pca_m0,proba
705,-0.005899999999999999,0.7883866
706,-0.00588,0.78696567
707,-0.005859999999999999,0.78553605
708,-0.00584,0.784098
709,-0.005819999999999999,0.7826518
710,-0.0058,0.781197
711,-0.005779999999999999,0.7797335
712,-0.0057599999999999995,0.7782616
713,-0.005739999999999999,0.77678096
714,-0.005719999999999999,0.77529174
715,-0.0056999999999999985,0.7737938
716,-0.005679999999999999,0.7722872
717,-0.00566,0.7707719
718,-0.005639999999999999,0.76924783
719,-0.00562,0.76771486
720,-0.005599999999999999,0.76617306
721,-0.00558,0.7646224
722,-0.005559999999999999,0.7630629
723,-0.00554,0.76149434
724,-0.005519999999999999,0.75991684
725,-0.0055,0.75833046
726,-0.005479999999999999,0.7567351
727,-0.00546,0.7551304
728,-0.005439999999999999,0.7535169
729,-0.0054199999999999995,0.7518939
730,-0.0053999999999999986,0.750262
731,-0.005379999999999999,0.74862087
732,-0.0053599999999999984,0.74697036
733,-0.005339999999999999,0.7453107
734,-0.00532,0.74364173
735,-0.005299999999999999,0.74196345
736,-0.00528,0.7402758
737,-0.005259999999999999,0.7385788
738,-0.00524,0.7368723
739,-0.005219999999999999,0.73515654
740,-0.0052,0.7334311
741,-0.005179999999999999,0.73169625
742,-0.00516,0.72995204
743,-0.005139999999999999,0.728198
744,-0.0051199999999999996,0.7264344
745,-0.005099999999999999,0.72466135
746,-0.0050799999999999994,0.72287846
747,-0.0050599999999999985,0.72108585
748,-0.005039999999999999,0.7192837
749,-0.005019999999999998,0.71747166
750,-0.004999999999999999,0.7156501
751,-0.00498,0.71381855
752,-0.004959999999999999,0.7119772
753,-0.00494,0.710126
754,-0.004919999999999999,0.708265
755,-0.0049,0.70639384
756,-0.004879999999999999,0.704513
757,-0.00486,0.70262206
758,-0.004839999999999999,0.7007214
759,-0.00482,0.6988105
760,-0.004799999999999999,0.69688964
761,-0.0047799999999999995,0.6949588
762,-0.004759999999999999,0.69301784
763,-0.004739999999999999,0.6910666
764,-0.0047199999999999985,0.68910545
765,-0.004699999999999999,0.68713397
766,-0.004679999999999998,0.68515253
767,-0.004659999999999999,0.6831609
768,-0.004639999999999998,0.68115884
769,-0.004619999999999999,0.6791467
770,-0.0046,0.67712414
